X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8477382.0499605,5318739.12727371,2024/01/28 00:00:00+00,800,830,100 DICKERSON ST   ,,From Building,LARCENY,43.044444012,-76.153618648,1
-8478163.83026905,5314458.83561301,2024/08/08 00:00:00+00,400,430,300 VALLEY DR     ,,From Motor Vehicle,MV THEFT,43.0163370000001,-76.1606414999999,2
-8477382.0499605,5318739.12727371,2024/10/14 00:00:00+00,1436,1436,100 DICKERSON ST     ,Yes,,AGGRAVATED ASSAULT,43.044444012,-76.153618648,3
-8476774.39671263,5316013.9263144,2024/07/15 00:00:00+00,1400,800,200 W BEARD AV   ,,From Building,BURGLARY,43.0265501650001,-76.148160006,4
-8477382.0499605,5318739.12727371,2024/03/16 00:00:00+00,300,600,100 DICKERSON ST     ,,All Other,LARCENY,43.044444012,-76.153618648,5
-8476590.30722543,5315821.18752545,2024/12/03 00:00:00+00,825,825,200 W COLVIN ST     ,,Pocket Picking,LARCENY,43.025284432,-76.146506302,6
-8477382.0499605,5318739.12727371,2024/07/04 00:00:00+00,2155,2155,100 DICKERSON ST     ,,,AGGRAVATED ASSAULT,43.044444012,-76.153618648,7
-8477749.92091387,5321030.74048392,2024/01/29 00:00:00+00,1454,1454,200 W DIVISION ST     ,Yes,From Motor Vehicle,LARCENY,43.059486855,-76.156923289,8
-8480196.467398,5320015.22269792,2024/04/21 00:00:00+00,2007,2007,100 DEWEY AV   ,Yes,,AGGRAVATED ASSAULT,43.0528211440001,-76.17890099,9
-8478163.83026905,5314458.83561301,2024/06/02 00:00:00+00,113,113,300 VALLEY DR     ,,All Other,LARCENY,43.0163370000001,-76.1606414999999,10
-8477382.0499605,5318739.12727371,2024/07/25 00:00:00+00,658,658,100 DICKERSON ST     ,,,AGGRAVATED ASSAULT,43.044444012,-76.153618648,11
-8477385.58479961,5319148.15982083,2024/10/31 00:00:00+00,1000,1000,200 W JEFFERSON ST     ,,,BURGLARY,43.047129296,-76.153650402,12
-8477382.0499605,5318739.12727371,2024/03/30 00:00:00+00,1645,1645,100 DICKERSON ST     ,,,ROBBERY,43.044444012,-76.153618648,13
-8477385.58479961,5319148.15982083,2024/07/28 00:00:00+00,1150,1350,200 W JEFFERSON ST     ,,From Motor Vehicle,LARCENY,43.047129296,-76.153650402,14
-8477382.0499605,5318739.12727371,2024/12/05 00:00:00+00,1700,1713,100 DICKERSON ST     ,Yes,,AGGRAVATED ASSAULT,43.044444012,-76.153618648,15
-8477385.58479961,5319148.15982083,2024/08/15 00:00:00+00,430,550,200 W JEFFERSON ST     ,Yes,Of Bicycle,MV THEFT,43.047129296,-76.153650402,16
-8477382.0499605,5318739.12727371,2024/07/10 00:00:00+00,345,345,100 DICKERSON ST     ,Yes,,AGGRAVATED ASSAULT,43.044444012,-76.153618648,17
-8480399.51537372,5319044.83753566,2024/07/31 00:00:00+00,1800,645,300 S LOWELL AV   ,,All Other,LARCENY,43.046451,-76.180725001,18
-8477382.0499605,5318739.12727371,2024/03/11 00:00:00+00,300,1200,100 DICKERSON ST     ,,From Building,LARCENY,43.044444012,-76.153618648,19
-8477385.58479961,5319148.15982083,2024/11/01 00:00:00+00,100,105,200 W JEFFERSON ST     ,,All Other,LARCENY,43.047129296,-76.153650402,20
-8472300.49966218,5319057.37057385,2024/05/24 00:00:00+00,1855,1855,100 DIDAMA ST     ,Yes,,AGGRAVATED ASSAULT,43.046533278,-76.107970305,21
-8477385.58479961,5319148.15982083,2024/11/15 00:00:00+00,800,800,200 W JEFFERSON ST     ,,From Motor Vehicle,LARCENY,43.047129296,-76.153650402,22
-8477382.0499605,5318739.12727371,2024/08/01 00:00:00+00,2305,2305,100 DICKERSON ST     ,,,AGGRAVATED ASSAULT,43.044444012,-76.153618648,23
-8478163.83026905,5314458.83561301,2024/07/10 00:00:00+00,2319,2319,300 VALLEY DR     ,Yes,,AGGRAVATED ASSAULT,43.0163370000001,-76.1606414999999,24
-8472300.49966218,5319057.37057385,2024/09/01 00:00:00+00,0,0,100 DIDAMA ST     ,,From Building,LARCENY,43.046533278,-76.107970305,25
-8477385.58479961,5319148.15982083,2024/08/04 00:00:00+00,2315,2315,200 W JEFFERSON ST     ,Yes,From Building,BURGLARY,43.047129296,-76.153650402,26
-8470196.8520527,5319037.99157742,2024/07/11 00:00:00+00,400,400,100 DOLL PKWY   ,,From Motor Vehicle,LARCENY,43.0464060570001,-76.089072917,27
-8478163.83026905,5314458.83561301,2024/02/26 00:00:00+00,1250,1250,300 VALLEY DR     ,,Of Bicycle,MV THEFT,43.0163370000001,-76.1606414999999,28
-8472300.49966218,5319057.37057385,2024/05/27 00:00:00+00,2246,2246,100 DIDAMA ST     ,,,AGGRAVATED ASSAULT,43.046533278,-76.107970305,29
-8477385.58479961,5319148.15982083,2024/07/09 00:00:00+00,0,1802,200 W JEFFERSON ST     ,,From Motor Vehicle,LARCENY,43.047129296,-76.153650402,30
-8474230.87369751,5322283.24264185,2024/07/28 00:00:00+00,1151,1151,100 DORCHESTER AVE    ,,Of Bicycle,MV THEFT,43.0677070990001,-76.12531115,31
-8477385.58479961,5319148.15982083,2024/11/04 00:00:00+00,512,516,200 W JEFFERSON ST     ,,,BURGLARY,43.047129296,-76.153650402,32
-8476283.48799963,5309755.92702259,2024/12/07 00:00:00+00,36,36,100 DORWIN AV   ,,Of Bicycle,MV THEFT,42.9854399870001,-76.1437500979999,33
-8477385.58479961,5319148.15982083,2024/03/06 00:00:00+00,1600,700,200 W JEFFERSON ST   ,Yes,All Other,BURGLARY,43.047129296,-76.153650402,34
-8477382.0499605,5318739.12727371,2024/03/17 00:00:00+00,625,625,100 DICKERSON ST     ,Yes,All Other,LARCENY,43.044444012,-76.153618648,35
-8478163.83026905,5314458.83561301,2024/03/05 00:00:00+00,1130,1130,300 VALLEY DR   ,,All Other,LARCENY,43.0163370000001,-76.1606414999999,36
-8476291.13353358,5320838.35129707,2024/04/26 00:00:00+00,1331,1433,100 DOUGLAS ST     ,,Pocket Picking,LARCENY,43.0582240960001,-76.143818779,37
-8477385.58479961,5319148.15982083,2024/01/03 00:00:00+00,201,201,200 W JEFFERSON ST     ,,,BURGLARY,43.047129296,-76.153650402,38
-8479068.75531527,5317607.1932503,2024/11/16 00:00:00+00,347,347,100 DUDLEY ST     ,,From Building,BURGLARY,43.037012293,-76.1687705799999,39
-8476548.68419991,5314917.02807335,2024/05/23 00:00:00+00,315,329,200 W LAFAYETTE AV   ,,From Motor Vehicle,LARCENY,43.019346387,-76.146132396,40
-8479068.75531527,5317607.1932503,2024/12/06 00:00:00+00,2252,2252,100 DUDLEY ST     ,,Shoplifting,LARCENY,43.037012293,-76.1687705799999,41
-8476548.68419991,5314917.02807335,2024/01/25 00:00:00+00,1316,1316,200 W LAFAYETTE AV   ,,All Other,LARCENY,43.019346387,-76.146132396,42
-8479068.75531527,5317607.1932503,2024/10/25 00:00:00+00,1834,1834,100 DUDLEY ST     ,,,AGGRAVATED ASSAULT,43.037012293,-76.1687705799999,43
-8476548.68419991,5314917.02807335,2024/03/04 00:00:00+00,910,910,200 W LAFAYETTE AV ,,All Other,LARCENY,43.019346387,-76.146132396,44
-8479068.75531527,5317607.1932503,2024/02/08 00:00:00+00,2330,2330,100 DUDLEY ST     ,,Motor Vehicle,MV THEFT,43.037012293,-76.1687705799999,45
-8476517.61270364,5314663.53920473,2024/07/11 00:00:00+00,1221,1221,200 W NEWELL ST     ,,,AGGRAVATED ASSAULT,43.0176815020001,-76.145853276,46
-8474398.49213021,5321569.96518914,2024/02/21 00:00:00+00,935,945,100 DURSTON AV   ,,All Other,LARCENY,43.0630259530001,-76.126816892,47
-8476517.61270364,5314663.53920473,2024/05/16 00:00:00+00,2030,2100,200 W NEWELL ST     ,,All Other,LARCENY,43.0176815020001,-76.145853276,48
-8474398.49213021,5321569.96518914,2024/04/02 00:00:00+00,600,600,100 DURSTON AV   ,,Of Bicycle,MV THEFT,43.0630259530001,-76.126816892,49
-8476439.74360663,5314126.10588283,2024/02/14 00:00:00+00,918,918,200 W OSTRANDER AV   ,,,AGGRAVATED ASSAULT,43.0141515540001,-76.145153766,50
