,X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,CrimeType,monthly_crime_count
0,-8477382.0499605,5318739.12727371,2024-01-28 00:00:00+00:00,800,830,100 DICKERSON ST   ,NO,From Building,LARCENY,43.044444012,-76.153618648,1,2024-01,2,430
1,-8478163.83026905,5314458.83561301,2024-08-08 00:00:00+00:00,400,430,300 VALLEY DR     ,NO,From Motor Vehicle,MV THEFT,43.0163370000001,-76.1606414999999,2,2024-08,3,648
2,-8476774.39671263,5316013.9263144,2024-07-15 00:00:00+00:00,1400,800,200 W BEARD AV   ,NO,From Building,BURGLARY,43.0265501650001,-76.148160006,4,2024-07,1,554
3,-8477382.0499605,5318739.12727371,2024-03-16 00:00:00+00:00,300,600,100 DICKERSON ST     ,NO,All Other,LARCENY,43.044444012,-76.153618648,5,2024-03,2,489
4,-8476590.30722543,5315821.18752545,2024-12-03 00:00:00+00:00,825,825,200 W COLVIN ST     ,NO,Pocket Picking,LARCENY,43.025284432,-76.146506302,6,2024-12,2,386
5,-8477749.92091387,5321030.74048392,2024-01-29 00:00:00+00:00,1454,1454,200 W DIVISION ST     ,YES,From Motor Vehicle,LARCENY,43.059486855,-76.156923289,8,2024-01,2,430
6,-8478163.83026905,5314458.83561301,2024-06-02 00:00:00+00:00,113,113,300 VALLEY DR     ,NO,All Other,LARCENY,43.0163370000001,-76.1606414999999,10,2024-06,2,469
7,-8477385.58479961,5319148.15982083,2024-07-28 00:00:00+00:00,1150,1350,200 W JEFFERSON ST     ,NO,From Motor Vehicle,LARCENY,43.047129296,-76.153650402,14,2024-07,2,554
8,-8477385.58479961,5319148.15982083,2024-08-15 00:00:00+00:00,430,550,200 W JEFFERSON ST     ,YES,Of Bicycle,MV THEFT,43.047129296,-76.153650402,16,2024-08,3,648
9,-8480399.51537372,5319044.83753566,2024-07-31 00:00:00+00:00,1800,645,300 S LOWELL AV   ,NO,All Other,LARCENY,43.046451,-76.180725001,18,2024-07,2,554
10,-8477382.0499605,5318739.12727371,2024-03-11 00:00:00+00:00,300,1200,100 DICKERSON ST     ,NO,From Building,LARCENY,43.044444012,-76.153618648,19,2024-03,2,489
11,-8477385.58479961,5319148.15982083,2024-11-01 00:00:00+00:00,100,105,200 W JEFFERSON ST     ,NO,All Other,LARCENY,43.047129296,-76.153650402,20,2024-11,2,436
12,-8477385.58479961,5319148.15982083,2024-11-15 00:00:00+00:00,800,800,200 W JEFFERSON ST     ,NO,From Motor Vehicle,LARCENY,43.047129296,-76.153650402,22,2024-11,2,436
13,-8472300.49966218,5319057.37057385,2024-09-01 00:00:00+00:00,0,0,100 DIDAMA ST     ,NO,From Building,LARCENY,43.046533278,-76.107970305,25,2024-09,2,569
14,-8477385.58479961,5319148.15982083,2024-08-04 00:00:00+00:00,2315,2315,200 W JEFFERSON ST     ,YES,From Building,BURGLARY,43.047129296,-76.153650402,26,2024-08,1,648
15,-8470196.8520527,5319037.99157742,2024-07-11 00:00:00+00:00,400,400,100 DOLL PKWY   ,NO,From Motor Vehicle,LARCENY,43.0464060570001,-76.089072917,27,2024-07,2,554
16,-8478163.83026905,5314458.83561301,2024-02-26 00:00:00+00:00,1250,1250,300 VALLEY DR     ,NO,Of Bicycle,MV THEFT,43.0163370000001,-76.1606414999999,28,2024-02,3,388
17,-8477385.58479961,5319148.15982083,2024-07-09 00:00:00+00:00,0,1802,200 W JEFFERSON ST     ,NO,From Motor Vehicle,LARCENY,43.047129296,-76.153650402,30,2024-07,2,554
18,-8474230.87369751,5322283.24264185,2024-07-28 00:00:00+00:00,1151,1151,100 DORCHESTER AVE    ,NO,Of Bicycle,MV THEFT,43.0677070990001,-76.12531115,31,2024-07,3,554
19,-8476283.48799963,5309755.92702259,2024-12-07 00:00:00+00:00,36,36,100 DORWIN AV   ,NO,Of Bicycle,MV THEFT,42.9854399870001,-76.1437500979999,33,2024-12,3,386
20,-8477385.58479961,5319148.15982083,2024-03-06 00:00:00+00:00,1600,700,200 W JEFFERSON ST   ,YES,All Other,BURGLARY,43.047129296,-76.153650402,34,2024-03,1,489
21,-8477382.0499605,5318739.12727371,2024-03-17 00:00:00+00:00,625,625,100 DICKERSON ST     ,YES,All Other,LARCENY,43.044444012,-76.153618648,35,2024-03,2,489
22,-8478163.83026905,5314458.83561301,2024-03-05 00:00:00+00:00,1130,1130,300 VALLEY DR   ,NO,All Other,LARCENY,43.0163370000001,-76.1606414999999,36,2024-03,2,489
23,-8476291.13353358,5320838.35129707,2024-04-26 00:00:00+00:00,1331,1433,100 DOUGLAS ST     ,NO,Pocket Picking,LARCENY,43.0582240960001,-76.143818779,37,2024-04,2,426
24,-8479068.75531527,5317607.1932503,2024-11-16 00:00:00+00:00,347,347,100 DUDLEY ST     ,NO,From Building,BURGLARY,43.037012293,-76.1687705799999,39,2024-11,1,436
