X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,unemployment_rate,CrimeType,monthly_crime_count
-8479620.05618786,5322321.931704,2023-04-27 00:00:00+00:00,2021,2021,1 DESTINY USA DR,NO,Purse Snatch,LARCENY,43.067961,-76.1737229999999,1,2023-04,2.9,2,331
-8477375.85525347,5319387.57598611,2023-09-16 00:00:00+00:00,2002,2002,0 S CLINTON ST & W FAYETTE ST        ,NO,All Other,LARCENY,43.0487010000001,-76.153563,2,2023-09,3.6,2,574
-8479620.05618786,5322321.931704,2023-12-01 00:00:00+00:00,1419,1427,1 DESTINY USA DR,NO,Shoplifting,LARCENY,43.067961,-76.1737229999999,3,2023-12,4.2,2,381
-8475492.83029564,5318469.06523842,2023-06-10 00:00:00+00:00,1847,1847,0 S CROUSE AV & E ADAMS ST    ,NO,Motor Vehicle,MV THEFT,43.042671,-76.1366474989999,4,2023-06,3.5,3,349
-8479620.05618786,5322321.931704,2023-08-24 00:00:00+00:00,1341,1341,1 DESTINY USA DR,YES,Shoplifting,LARCENY,43.067961,-76.1737229999999,5,2023-08,3.8,2,608
-8479620.05618786,5322321.931704,2023-08-24 00:00:00+00:00,1730,1730,1 DESTINY USA DR,YES,Shoplifting,LARCENY,43.067961,-76.1737229999999,6,2023-08,3.8,2,608
-8477373.85150264,5319670.00191741,2023-07-29 00:00:00+00:00,1100,1100,0 S CLINTON ST & W WATER ST        ,NO,From Motor Vehicle,LARCENY,43.050555,-76.153545,7,2023-07,3.5,2,558
-8479620.05618786,5322321.931704,2023-04-15 00:00:00+00:00,1040,1045,1 DESTINY USA DR,NO,Shoplifting,LARCENY,43.067961,-76.1737229999999,8,2023-04,2.9,2,331
-8477225.07289188,5319526.04588571,2023-08-10 00:00:00+00:00,0600,708,0 S SALINA ST & E WASHINGTON ST        ,NO,Purse Snatch,LARCENY,43.04961,-76.152208499,9,2023-08,3.8,2,608
-8479620.05618786,5322321.931704,2023-08-25 00:00:00+00:00,1434,1434,1 DESTINY USA DR,NO,Shoplifting,LARCENY,43.067961,-76.1737229999999,10,2023-08,3.8,2,608
-8479738.7784248,5317142.18226797,2023-09-26 00:00:00+00:00,0015,15,0 S GEDDES ST & ONONDAGA BLVD    ,NO,Motor Vehicle,MV THEFT,43.033959,-76.1747895,11,2023-09,3.6,3,574
-8479620.05618786,5322321.931704,2023-08-21 00:00:00+00:00,1700,1454,1 DESTINY USA DR,NO,From Motor Vehicle,LARCENY,43.067961,-76.1737229999999,12,2023-08,3.8,2,608
-8479620.05618786,5322321.931704,2023-11-29 00:00:00+00:00,1530,1536,1 DESTINY USA DR,YES,Shoplifting,LARCENY,43.067961,-76.1737229999999,14,2023-11,3.7,2,509
-8477064.77293645,5319664.51783748,2023-03-26 00:00:00+00:00,0525,530,0 S WARREN ST & E WATER ST        ,YES,Motor Vehicle,MV THEFT,43.0505190000001,-76.1507685,15,2023-03,3.6,3,310
-8479620.05618786,5322321.931704,2023-04-17 00:00:00+00:00,1518,1520,1 DESTINY USA DR,NO,From Building,LARCENY,43.067961,-76.1737229999999,16,2023-04,2.9,2,331
-8476078.42658828,5322834.85299528,2023-06-14 00:00:00+00:00,0028,28,0 SCHILLER AV & HIGHLAND ST        ,NO,From Motor Vehicle,LARCENY,43.0713270000001,-76.1419079999999,17,2023-06,3.5,2,349
-8479620.05618786,5322321.931704,2023-11-29 00:00:00+00:00,1441,1450,1 DESTINY USA DR,NO,Shoplifting,LARCENY,43.067961,-76.1737229999999,18,2023-11,3.7,2,509
-8479620.05618786,5322321.931704,2023-07-25 00:00:00+00:00,1959,2030,1 DESTINY USA DR,YES,Shoplifting,LARCENY,43.067961,-76.1737229999999,19,2023-07,3.5,2,558
